Applicant_ID,Age,Income,Employment_Status,Credit_Score,Loan_Amount,Loan_Term_Months,Existing_Debt,Marital_Status,Loan_Status
A047,37,26658,Salaried,733,484817,36,11557,Single,Approved
A048,42,37146,Student,465,438618,48,144619,Married,Rejected
A049,56,21267,Salaried,377,412293,24,143023,Single,Rejected
A050,44,96350,Self-Employed,740,116818,12,80808,Married,Approved
A051,23,66898,Self-Employed,555,399665,12,92714,Married,Approved
A052,60,118235,Self-Employed,542,135197,24,108080,Single,Approved
A053,32,116542,Student,721,470602,24,69941,Single,Approved
A054,27,70140,Salaried,781,166619,24,120665,Married,Approved
A055,40,49831,Self-Employed,324,396047,24,104455,Married,Rejected
A056,38,29099,Student,659,386321,60,104773,Married,Approved
A057,22,35118,Student,482,354396,36,10028,Single,Approved
A058,59,76959,Student,621,278796,60,134066,Single,Approved
A059,45,95574,Self-Employed,560,73271,48,443,Single,Approved
A060,44,76531,Salaried,638,376712,36,173903,Single,Approved
A061,40,86469,Student,718,221013,48,182769,Married,Approved
A062,56,36683,Self-Employed,730,398614,48,177554,Single,Approved
A063,60,94593,Student,715,337276,12,79658,Married,Approved
A064,34,76346,Student,776,281623,48,177111,Single,Approved
A065,53,82021,Self-Employed,386,198785,60,174025,Married,Rejected
A066,26,118453,Self-Employed,617,167776,24,38627,Single,Approved
A067,23,52092,Unemployed,374,288769,48,165089,Single,Rejected
A068,45,84799,Unemployed,549,127369,12,196860,Single,Approved
A069,48,48683,Self-Employed,830,293557,12,146120,Single,Approved
A070,28,79829,Self-Employed,775,400002,60,146518,Married,Approved
A071,49,100301,Unemployed,756,133444,48,117983,Married,Approved
A072,36,103579,Student,833,304068,24,71984,Married,Approved
A073,25,113525,Student,540,192456,36,83809,Single,Approved
A074,29,39769,Self-Employed,692,413829,24,185183,Single,Approved
A075,25,74377,Unemployed,638,334484,48,108992,Single,Approved
A076,34,75069,Unemployed,320,499174,60,99714,Married,Rejected
A077,21,66105,Student,699,497452,48,141091,Single,Approved
A078,52,48760,Student,746,304616,12,101936,Married,Approved
A079,46,114919,Self-Employed,778,116913,60,140017,Single,Approved
A080,46,97580,Salaried,385,386985,48,35572,Married,Rejected
A081,32,26590,Student,688,221627,24,119196,Married,Approved
A082,42,119775,Unemployed,584,444269,48,66131,Single,Approved
A083,51,22540,Salaried,658,167556,12,170853,Single,Approved
A084,22,52411,Self-Employed,320,375758,24,62533,Single,Rejected
A085,51,107747,Salaried,523,293811,36,96703,Single,Approved
A086,59,99593,Salaried,467,213073,12,151698,Single,Approved
A087,40,95470,Unemployed,706,424873,24,19922,Single,Approved
A088,27,111382,Student,423,467452,60,10766,Married,Approved
A089,55,76148,Student,370,315269,36,3316,Married,Rejected
A090,52,33833,Unemployed,670,383229,48,185416,Single,Approved
A091,48,43086,Student,795,293727,48,191634,Married,Approved
A092,41,52177,Salaried,585,286350,24,196732,Married,Approved
A093,57,99997,Unemployed,644,65047,48,85200,Single,Approved
A094,52,47802,Student,564,228435,36,156278,Married,Approved
A095,56,21330,Self-Employed,387,176540,48,128077,Single,Rejected
A096,51,104659,Unemployed,758,465725,12,24393,Married,Approved
A097,35,73005,Self-Employed,613,398106,60,96736,Married,Approved
A098,56,89588,Student,735,441084,60,86714,Married,Approved
A099,50,55509,Student,557,170868,12,189080,Single,Approved
A100,41,35670,Self-Employed,496,163447,48,72482,Married,Approved
